Measured_Price,Estimated_Price,Estimated_Velocity,rel_diff
380.5,380.038224,-0.780314,0.001215
380.55,379.734286,-0.677651,0.002148
381.65,380.012773,-0.471595,0.004308
382.6,380.668924,-0.228555,0.005073
383.5,381.568413,0.014549,0.005062
383.5,382.289747,0.166867,0.003166
383.7,382.915034,0.265661,0.00205
382.95,383.095641,0.247331,-0.00038
380.4,382.257938,0.013496,-0.00486
380.4,381.581463,-0.135199,-0.003096
380.4,381.060521,-0.21833,-0.001733
380.4,380.679161,-0.253464,-0.000733
378.1,379.568244,-0.438253,-0.003868
379.05,379.100499,-0.444609,-0.000133
378.45,378.579981,-0.460968,-0.000343
377.9,378.038266,-0.47837,-0.000366
379.3,378.201449,-0.340109,0.002905
379.0,378.281148,-0.249637,0.0019
380.35,378.886306,-0.065421,0.003863
378.35,378.647276,-0.102835,-0.000785
377.25,378.067199,-0.205685,-0.002162
377.25,377.636057,-0.254273,-0.001022
376.7,377.130419,-0.308444,-0.001141
376.7,376.777004,-0.318136,-0.000204
379.3,377.506355,-0.092393,0.004751
380.3,378.478004,0.136918,0.004814
380.5,379.309924,0.286697,0.003137
380.25,379.837513,0.338611,0.001086
379.45,379.908412,0.280917,-0.001207
379.45,379.916749,0.222173,-0.001229
377.75,379.258159,0.032361,-0.003977
377.65,378.685683,-0.097987,-0.002735
377.0,378.002334,-0.224138,-0.002652
378.95,378.210224,-0.131032,0.001956
377.7,377.939389,-0.161161,-0.000633
379.75,378.505194,-0.004493,0.003289
378.5,378.500442,-0.004549,-1e-06
377.8,378.239327,-0.059841,-0.001162
377.55,377.947403,-0.109857,-0.001051
375.75,377.067896,-0.275724,-0.003495
376.55,376.702887,-0.294966,-0.000406
376.9,376.589344,-0.255867,0.000825
376.2,376.284266,-0.266473,-0.000224
376.1,376.048102,-0.259941,0.000138
375.65,375.737223,-0.270919,-0.000232
375.65,375.53403,-0.256323,0.000309
375.8,375.470269,-0.214824,0.000878
375.6,375.382478,-0.187447,0.000579
375.15,375.178428,-0.191025,-7.6e-05
374.95,374.973613,-0.193997,-6.3e-05
375.8,375.155818,-0.112922,0.001717
377.15,375.819756,0.054498,0.00354
376.45,376.086524,0.100244,0.000966
375.3,375.859829,0.029786,-0.001489
375.3,375.672232,-0.017062,-0.000991
373.9,375.008063,-0.15652,-0.002955
374.3,374.648197,-0.200343,-0.000929
372.7,373.803444,-0.339219,-0.002952
373.25,373.385244,-0.35624,-0.000362
373.55,373.221088,-0.314844,0.000881
374.85,373.62288,-0.160403,0.003284
373.3,373.402574,-0.173312,-0.000275
371.15,372.462667,-0.33852,-0.003524
369.0,370.972316,-0.58675,-0.005317
370.35,370.372453,-0.589576,-6.1e-05
373.55,371.171764,-0.290259,0.006407
373.65,371.902211,-0.070287,0.0047
373.65,372.502224,0.074169,0.003081
372.35,372.492925,0.056181,-0.000384
372.4,372.494132,0.044333,-0.000253
373.0,372.708627,0.081005,0.000782
371.85,372.443202,0.006346,-0.001593
370.65,371.78608,-0.136638,-0.003056
370.4,371.18879,-0.235912,-0.002125
370.7,370.859645,-0.256005,-0.00043
372.45,371.284368,-0.109302,0.003139
370.85,371.055219,-0.13513,-0.000553
370.0,370.580865,-0.208236,-0.001567
370.0,370.235246,-0.237843,-0.000635
369.05,369.648108,-0.313119,-0.001618
368.85,369.15618,-0.351654,-0.000829
367.4,368.286697,-0.463251,-0.002408
366.1,367.188035,-0.600188,-0.002963
367.15,366.795105,-0.555522,0.000968
366.8,366.446201,-0.510994,0.000965
368.0,366.696468,-0.346935,0.003555
366.9,366.552483,-0.303198,0.000948
367.7,366.784144,-0.187931,0.002497
370.35,367.980183,0.110327,0.00644
369.65,368.665473,0.234237,0.002671
370.05,369.323806,0.325634,0.001966
369.9,369.741818,0.345542,0.000428
370.0,370.055151,0.338601,-0.000149
368.7,369.769289,0.204023,-0.002892
369.0,369.614465,0.126689,-0.001662
369.0,369.467901,0.0678,-0.001266
370.2,369.780619,0.120582,0.001134
369.75,369.845455,0.108568,-0.000258
370.1,370.007843,0.120167,0.000249
370.0,370.080814,0.109996,-0.000218
371.35,370.618188,0.2021,0.001975
370.65,370.757505,0.188569,-0.00029
370.35,370.72631,0.141208,-0.001015
370.95,370.897928,0.147762,0.00014
370.95,371.01041,0.140159,-0.000163
371.0,371.095056,0.128195,-0.000256
371.35,371.269982,0.138266,0.000216
370.1,370.925915,0.034319,-0.002227
370.1,370.643077,-0.034031,-0.001465
371.75,371.0297,0.056624,0.001941
369.75,370.59364,-0.049554,-0.002276
369.0,369.974802,-0.17224,-0.002635
367.4,368.91677,-0.363136,-0.004111
368.35,368.478557,-0.379316,-0.000349
368.05,368.081087,-0.383228,-8.4e-05
368.3,367.91986,-0.335385,0.001033
369.0,368.106359,-0.222914,0.002428
368.25,368.018589,-0.193789,0.000629
368.25,367.981565,-0.160005,0.000729
368.0,367.887348,-0.145827,0.000306
367.65,367.707779,-0.153099,-0.000157
371.3,368.935528,0.144486,0.006409
369.75,369.327029,0.19772,0.001145
370.5,369.884311,0.275209,0.001665
370.45,370.266616,0.298289,0.000495
369.5,370.172289,0.213677,-0.001816
369.5,370.059323,0.143282,-0.001511
369.5,369.943564,0.087457,-0.001199
369.5,369.835241,0.045264,-0.000906
369.2,369.629612,-0.008805,-0.001162
368.95,369.373489,-0.062105,-0.001147
370.4,369.712742,0.024392,0.001859
368.6,369.317888,-0.06596,-0.001944
369.2,369.232783,-0.070086,-8.9e-05
